tag,id,classes,selector,clickElement,sectionViewedElement,sectionSignature,text,source_url,was_clicked,was_viewed,view_duration,time_on_site,session_id,page_url
span,,bsc-header-cart j-bsc-header-cart page-common-header__cart,span.bsc-header-cart.j-bsc-header-cart.page-common-header__cart,SPAN.bsc-header-cart.j-bsc-header-cart.page-common-header__cart,bsc-header-cart j-bsc-header-cart page-common-header__cart,0,0,https://fr.shein.com/,False,False,0,2025-05-07 00:00:26,airj709oef9,https://fr.shein.com/
svg,,bsc-header-cart__svg,svg.bsc-header-cart__svg,svg.bsc-header-cart__svg,bsc-header-cart__svg,,,https://fr.shein.com/,False,False,0,2025-05-07 00:00:26,airj709oef9,https://fr.shein.com/
span,,bsc-cart-num,span.bsc-cart-num,SPAN.bsc-cart-num,bsc-cart-num,0,0,https://fr.shein.com/,False,False,0,2025-05-07 00:00:26,airj709oef9,https://fr.shein.com/
div,,header-icon,div.header-icon,DIV.header-icon,header-icon,0,0,https://fr.shein.com/,False,True,9261,2025-05-07 00:00:26,airj709oef9,https://fr.shein.com/
a,,bsc-wish-list-entry_wrap,a.bsc-wish-list-entry_wrap,A.bsc-wish-list-entry_wrap,bsc-wish-list-entry_wrap,0,0,https://fr.shein.com/,False,False,0,2025-05-07 00:00:26,airj709oef9,https://fr.shein.com/
div,,header-icon,div.header-icon,DIV.header-icon,header-icon,,,https://fr.shein.com/,False,True,9261,2025-05-07 00:00:26,airj709oef9,https://fr.shein.com/
div,,bs-c-header-robot__wrap,div.bs-c-header-robot__wrap,DIV.bs-c-header-robot__wrap,bs-c-header-robot__wrap,,,https://fr.shein.com/,False,True,9235,2025-05-07 00:00:26,airj709oef9,https://fr.shein.com/
span,,sui-icon-common__wrap icon__container__preview__container,span.icon__container__preview__container.sui-icon-common__wrap,SPAN.icon__container__preview__container.sui-icon-common__wrap,sui-icon-common__wrap icon__container__preview__container,,,https://fr.shein.com/,False,False,0,2025-05-07 00:00:26,airj709oef9,https://fr.shein.com/
div,,header-icon,div.header-icon,DIV.header-icon,header-icon,,,https://fr.shein.com/,False,True,9261,2025-05-07 00:00:26,airj709oef9,https://fr.shein.com/
div,,bs-c-swich__wrap,div.bs-c-swich__wrap,DIV.bs-c-swich__wrap,bs-c-swich__wrap,,,https://fr.shein.com/,False,True,9235,2025-05-07 00:00:26,airj709oef9,https://fr.shein.com/
span,,bs-c-swich__wrap-icon j-earth-icon,span.bs-c-swich__wrap-icon.j-earth-icon,SPAN.bs-c-swich__wrap-icon.j-earth-icon,bs-c-swich__wrap-icon j-earth-icon,,,https://fr.shein.com/,False,True,9235,2025-05-07 00:00:26,airj709oef9,https://fr.shein.com/
span,,sui-icon-common__wrap icon__container__preview__container,span.icon__container__preview__container.sui-icon-common__wrap,SPAN.icon__container__preview__container.sui-icon-common__wrap,sui-icon-common__wrap icon__container__preview__container,,,https://fr.shein.com/,False,False,0,2025-05-07 00:00:26,airj709oef9,https://fr.shein.com/
div,,j-switch-language-guide bs-c-swich__wrap-guide,div.bs-c-swich__wrap-guide.j-switch-language-guide,DIV.bs-c-swich__wrap-guide.j-switch-language-guide,j-switch-language-guide bs-c-swich__wrap-guide,,,https://fr.shein.com/,False,True,9235,2025-05-07 00:00:26,airj709oef9,https://fr.shein.com/
div,,common-header__category,div.common-header__category,DIV.common-header__category,common-header__category,"CatégoriesNouveautésLivraison RapidePrix de oufVêtements pour femmesTenues de plageGrandes taillesMaison & cuisineVêtements pour hommesSous-vêtements et vêtements de nuitEnfantsBijoux et accessoiresChaussuresBeauté & santéLinge de maisonSacs et bagagesBébé & maternitéSports & extérieurÉlectroniqueOutils & bricolageJouets & jeuxPapeterie & bureauAnimaux de compagnieAppareils électroménagersAutomobileNouveautés

Livraison Rapide

Prix de ouf

Vêtements pour femmes

Tenues de plage

Grandes tailles

Maison & cuisine

Vêtements pour hommes

Sous-vêtements et vêtements de nuit

Enfants

Bijoux et accessoires

Chaussures

Beauté & santé

Linge de maison

Sacs et bagages

Bébé & maternité

Sports & extérieur

Électronique

Outils & bricolage

Jouets & jeux

Papeterie & bureau

Animaux de compagnie

Appareils électroménagers

Automobile

namenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamename","CatégoriesNouveautésLivraison RapidePrix de oufVêtements pour femmesTenues de plageGrandes taillesMaison & cuisineVêtements pour hommesSous-vêtements et vêtements de nuitEnfantsBijoux et accessoiresChaussuresBeauté & santéLinge de maisonSacs et bagagesBébé & maternitéSports & extérieurÉlectroniqueOutils & bricolageJouets & jeuxPapeterie & bureauAnimaux de compagnieAppareils électroménagersAutomobileNouveautés

Livraison Rapide

Prix de ouf

Vêtements pour femmes

Tenues de plage

Grandes tailles

Maison & cuisine

Vêtements pour hommes

Sous-vêtements et vêtements de nuit

Enfants

Bijoux et accessoires

Chaussures

Beauté & santé

Linge de maison

Sacs et bagages

Bébé & maternité

Sports & extérieur

Électronique

Outils & bricolage

Jouets & jeux

Papeterie & bureau

Animaux de compagnie

Appareils électroménagers

Automobile

namenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamename",https://fr.shein.com/,False,True,0,2025-05-07 00:00:26,airj709oef9,https://fr.shein.com/
div,,bs-cate-wrap,div.bs-cate-wrap,DIV.bs-cate-wrap,bs-cate-wrap,"CatégoriesNouveautésLivraison RapidePrix de oufVêtements pour femmesTenues de plageGrandes taillesMaison & cuisineVêtements pour hommesSous-vêtements et vêtements de nuitEnfantsBijoux et accessoiresChaussuresBeauté & santéLinge de maisonSacs et bagagesBébé & maternitéSports & extérieurÉlectroniqueOutils & bricolageJouets & jeuxPapeterie & bureauAnimaux de compagnieAppareils électroménagersAutomobileNouveautés

Livraison Rapide

Prix de ouf

Vêtements pour femmes

Tenues de plage

Grandes tailles

Maison & cuisine

Vêtements pour hommes

Sous-vêtements et vêtements de nuit

Enfants

Bijoux et accessoires

Chaussures

Beauté & santé

Linge de maison

Sacs et bagages

Bébé & maternité

Sports & extérieur

Électronique

Outils & bricolage

Jouets & jeux

Papeterie & bureau

Animaux de compagnie

Appareils électroménagers

Automobile

namenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamename","CatégoriesNouveautésLivraison RapidePrix de oufVêtements pour femmesTenues de plageGrandes taillesMaison & cuisineVêtements pour hommesSous-vêtements et vêtements de nuitEnfantsBijoux et accessoiresChaussuresBeauté & santéLinge de maisonSacs et bagagesBébé & maternitéSports & extérieurÉlectroniqueOutils & bricolageJouets & jeuxPapeterie & bureauAnimaux de compagnieAppareils électroménagersAutomobileNouveautés

Livraison Rapide

Prix de ouf

Vêtements pour femmes

Tenues de plage

Grandes tailles

Maison & cuisine

Vêtements pour hommes

Sous-vêtements et vêtements de nuit

Enfants

Bijoux et accessoires

Chaussures

Beauté & santé

Linge de maison

Sacs et bagages

Bébé & maternité

Sports & extérieur

Électronique

Outils & bricolage

Jouets & jeux

Papeterie & bureau

Animaux de compagnie

Appareils électroménagers

Automobile

namenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamenamename",https://fr.shein.com/,False,True,0,2025-05-07 00:00:26,airj709oef9,https://fr.shein.com/
nav,,bs-nav,nav.bs-nav,NAV.bs-nav,bs-nav,CatégoriesNouveautésLivraison RapidePrix de oufVêtements pour femmesTenues de plageGrandes taillesMaison & cuisineVêtements pour hommesSous-vêtements et vêtements de nuitEnfantsBijoux et accessoiresChaussuresBeauté & santéLinge de maisonSacs et bagagesBébé & maternitéSports & extérieurÉlectroniqueOutils & bricolageJouets & jeuxPapeterie & bureauAnimaux de compagnieAppareils électroménagersAutomobile,CatégoriesNouveautésLivraison RapidePrix de oufVêtements pour femmesTenues de plageGrandes taillesMaison & cuisineVêtements pour hommesSous-vêtements et vêtements de nuitEnfantsBijoux et accessoiresChaussuresBeauté & santéLinge de maisonSacs et bagagesBébé & maternitéSports & extérieurÉlectroniqueOutils & bricolageJouets & jeuxPapeterie & bureauAnimaux de compagnieAppareils électroménagersAutomobile,https://fr.shein.com/,False,False,0,2025-05-07 00:00:26,airj709oef9,https://fr.shein.com/
div,,bs-nav__cate first-cate,div.bs-nav__cate.first-cate,DIV.bs-nav__cate.first-cate,bs-nav__cate first-cate,Catégories,Catégories,https://fr.shein.com/,False,True,9419,2025-05-07 00:00:26,airj709oef9,https://fr.shein.com/
span,,,span,SPAN,Catégories,Catégories,Catégories,https://fr.shein.com/,False,False,0,2025-05-07 00:00:26,airj709oef9,https://fr.shein.com/
span,,bs-cate_icon-down,span.bs-cate_icon-down,SPAN.bs-cate_icon-down,bs-cate_icon-down,,,https://fr.shein.com/,False,True,11470,2025-05-07 00:00:26,airj709oef9,https://fr.shein.com/
div,,bs-nav__content,div.bs-nav__content,DIV.bs-nav__content,bs-nav__content,NouveautésLivraison RapidePrix de oufVêtements pour femmesTenues de plageGrandes taillesMaison & cuisineVêtements pour hommesSous-vêtements et vêtements de nuitEnfantsBijoux et accessoiresChaussuresBeauté & santéLinge de maisonSacs et bagagesBébé & maternitéSports & extérieurÉlectroniqueOutils & bricolageJouets & jeuxPapeterie & bureauAnimaux de compagnieAppareils électroménagersAutomobile,NouveautésLivraison RapidePrix de oufVêtements pour femmesTenues de plageGrandes taillesMaison & cuisineVêtements pour hommesSous-vêtements et vêtements de nuitEnfantsBijoux et accessoiresChaussuresBeauté & santéLinge de maisonSacs et bagagesBébé & maternitéSports & extérieurÉlectroniqueOutils & bricolageJouets & jeuxPapeterie & bureauAnimaux de compagnieAppareils électroménagersAutomobile,https://fr.shein.com/,False,True,9419,2025-05-07 00:00:26,airj709oef9,https://fr.shein.com/
div,,bs-nav__content-inner,div.bs-nav__content-inner,DIV.bs-nav__content-inner,bs-nav__content-inner,NouveautésLivraison RapidePrix de oufVêtements pour femmesTenues de plageGrandes taillesMaison & cuisineVêtements pour hommesSous-vêtements et vêtements de nuitEnfantsBijoux et accessoiresChaussuresBeauté & santéLinge de maisonSacs et bagagesBébé & maternitéSports & extérieurÉlectroniqueOutils & bricolageJouets & jeuxPapeterie & bureauAnimaux de compagnieAppareils électroménagersAutomobile,NouveautésLivraison RapidePrix de oufVêtements pour femmesTenues de plageGrandes taillesMaison & cuisineVêtements pour hommesSous-vêtements et vêtements de nuitEnfantsBijoux et accessoiresChaussuresBeauté & santéLinge de maisonSacs et bagagesBébé & maternitéSports & extérieurÉlectroniqueOutils & bricolageJouets & jeuxPapeterie & bureauAnimaux de compagnieAppareils électroménagersAutomobile,https://fr.shein.com/,False,True,9419,2025-05-07 00:00:26,airj709oef9,https://fr.shein.com/
a,,bs-nav__cate-link,a.bs-nav__cate-link,A.bs-nav__cate-link,bs-nav__cate-link,Nouveautés,Nouveautés,https://fr.shein.com/,False,False,0,2025-05-07 00:00:26,airj709oef9,https://fr.shein.com/
a,,bs-nav__cate-link,a.bs-nav__cate-link,A.bs-nav__cate-link,bs-nav__cate-link,Livraison Rapide,Livraison Rapide,https://fr.shein.com/,False,False,0,2025-05-07 00:00:26,airj709oef9,https://fr.shein.com/
a,,bs-nav__cate-link,a.bs-nav__cate-link,A.bs-nav__cate-link,bs-nav__cate-link,Prix de ouf,Prix de ouf,https://fr.shein.com/,False,False,0,2025-05-07 00:00:26,airj709oef9,https://fr.shein.com/
a,,bs-nav__cate-link,a.bs-nav__cate-link,A.bs-nav__cate-link,bs-nav__cate-link,Vêtements pour femmes,Vêtements pour femmes,https://fr.shein.com/,False,False,0,2025-05-07 00:00:26,airj709oef9,https://fr.shein.com/
